run,data_type,model,score,method
0,real,xgbregressor_no_impute,1014268.7720965324,original
0,real,xgbregressor,1027549.8619871058,original
0,real,randomforestregressor,1085045.6896508571,original
0,real,lasso,973505.65915731,original
0,real,ridge,975311.8934698778,original
0,real,kneighborsregressor,1047281.5035744244,original
0,real,svr,1760192.4785931923,original
0,mar,xgbregressor_no_impute,1054066.543015259,original
0,mar,xgbregressor,1028830.6664261027,original
0,mar,randomforestregressor,1128859.3974529891,original
0,mar,lasso,1016651.2170753632,original
0,mar,ridge,1017872.6584981988,original
0,mar,kneighborsregressor,1086199.8956872746,original
0,mar,svr,1822313.4461336555,original
0,mnar,xgbregressor_no_impute,995269.8713538572,original
0,mnar,xgbregressor,998579.807014263,original
0,mnar,randomforestregressor,1060973.8349056807,original
0,mnar,lasso,1008974.291076978,original
0,mnar,ridge,1009126.243341404,original
0,mnar,kneighborsregressor,1077213.7355946472,original
0,mnar,svr,1510887.797776965,original
1,real,xgbregressor_no_impute,1044830.787969358,original
1,real,xgbregressor,1046999.9288038017,original
1,real,randomforestregressor,1138881.589065398,original
1,real,lasso,1032815.9153628114,original
1,real,ridge,1033263.7044304496,original
1,real,kneighborsregressor,1021547.6129488556,original
1,real,svr,1719290.1032857017,original
1,mar,xgbregressor_no_impute,1058860.5817442222,original
1,mar,xgbregressor,1111256.5288546898,original
1,mar,randomforestregressor,1182519.4584858916,original
1,mar,lasso,1100244.1411280315,original
1,mar,ridge,1102615.98079943,original
1,mar,kneighborsregressor,1083206.0287969024,original
1,mar,svr,1572995.3695959658,original
1,mnar,xgbregressor_no_impute,1024714.6280296204,original
1,mnar,xgbregressor,1037233.2790224876,original
1,mnar,randomforestregressor,1105972.312049712,original
1,mnar,lasso,1035989.0276621524,original
1,mnar,ridge,1033069.248454318,original
1,mnar,kneighborsregressor,1012647.4609665408,original
1,mnar,svr,1723334.2190839138,original
2,real,xgbregressor_no_impute,1137924.4732510743,original
2,real,xgbregressor,1132458.3566144526,original
2,real,randomforestregressor,1079262.528539143,original
2,real,lasso,1133206.063035238,original
2,real,ridge,1132418.7824545582,original
2,real,kneighborsregressor,1304814.200094527,original
2,real,svr,1731896.8906207834,original
2,mar,xgbregressor_no_impute,1148614.2475383135,original
2,mar,xgbregressor,1194566.6396033666,original
2,mar,randomforestregressor,1157953.6962675329,original
2,mar,lasso,1180747.2108119668,original
2,mar,ridge,1179066.3710080362,original
2,mar,kneighborsregressor,1325525.1027693136,original
2,mar,svr,1908629.1982869925,original
2,mnar,xgbregressor_no_impute,1160921.96306583,original
2,mnar,xgbregressor,1101254.8151981332,original
2,mnar,randomforestregressor,1160783.045922821,original
2,mnar,lasso,1191099.87318844,original
2,mnar,ridge,1193124.3413052172,original
2,mnar,kneighborsregressor,1335611.1579731037,original
2,mnar,svr,1771585.665829491,original
3,real,xgbregressor_no_impute,1312214.6041760023,original
3,real,xgbregressor,1261532.0286766028,original
3,real,randomforestregressor,1288258.1630178038,original
3,real,lasso,1176643.1989926188,original
3,real,ridge,1177379.3522061848,original
3,real,kneighborsregressor,1334665.5720093849,original
3,real,svr,1780180.3769928808,original
3,mar,xgbregressor_no_impute,1276699.7927482764,original
3,mar,xgbregressor,1287819.0427852343,original
3,mar,randomforestregressor,1301497.0664410857,original
3,mar,lasso,1237171.3436236714,original
3,mar,ridge,1238851.2062021105,original
3,mar,kneighborsregressor,1332706.6259626176,original
3,mar,svr,2079731.303297866,original
3,mnar,xgbregressor_no_impute,1287170.7375922557,original
3,mnar,xgbregressor,1217275.7869154883,original
3,mnar,randomforestregressor,1284054.9912362031,original
3,mnar,lasso,1184124.6230214902,original
3,mnar,ridge,1184827.01919896,original
3,mnar,kneighborsregressor,1427596.5420025354,original
3,mnar,svr,2087333.7161318357,original
4,real,xgbregressor_no_impute,1080242.3916124357,original
4,real,xgbregressor,1087975.3641863856,original
4,real,randomforestregressor,1163939.746295506,original
4,real,lasso,1096078.4626946382,original
4,real,ridge,1098025.1160046868,original
4,real,kneighborsregressor,1097163.7329344572,original
4,real,svr,1869962.4155751015,original
4,mar,xgbregressor_no_impute,1146280.54753876,original
4,mar,xgbregressor,1118150.9693993616,original
4,mar,randomforestregressor,1150588.5811292145,original
4,mar,lasso,1116943.2754127923,original
4,mar,ridge,1124408.409280605,original
4,mar,kneighborsregressor,1147515.9169133042,original
4,mar,svr,1773778.6142264048,original
4,mnar,xgbregressor_no_impute,1107668.4038457314,original
4,mnar,xgbregressor,1096651.502984592,original
4,mnar,randomforestregressor,1048149.3216105056,original
4,mnar,lasso,1089235.9645018177,original
4,mnar,ridge,1089522.4730662508,original
4,mnar,kneighborsregressor,1189646.7249271232,original
4,mnar,svr,1710873.6383024745,original
5,real,xgbregressor_no_impute,1167490.558432316,original
5,real,xgbregressor,1136637.7495507188,original
5,real,randomforestregressor,1165537.185052661,original
5,real,lasso,1161706.5081104084,original
5,real,ridge,1172922.6441555829,original
5,real,kneighborsregressor,1181142.6539664497,original
5,real,svr,1705655.238067747,original
5,mar,xgbregressor_no_impute,1165302.5966582643,original
5,mar,xgbregressor,1192985.9768949652,original
5,mar,randomforestregressor,1240495.217278102,original
5,mar,lasso,1204123.9286140532,original
5,mar,ridge,1216374.6199051023,original
5,mar,kneighborsregressor,1220920.2170311713,original
5,mar,svr,1616808.850797512,original
5,mnar,xgbregressor_no_impute,1110527.814224155,original
5,mnar,xgbregressor,1118320.3817017083,original
5,mnar,randomforestregressor,1209863.6909260005,original
5,mnar,lasso,1160926.57084219,original
5,mnar,ridge,1178109.3201769483,original
5,mnar,kneighborsregressor,1197046.00567798,original
5,mnar,svr,1729831.8474385166,original
6,real,xgbregressor_no_impute,1153628.197730735,original
6,real,xgbregressor,1162937.862581178,original
6,real,randomforestregressor,1283829.1495680446,original
6,real,lasso,1169986.7445954322,original
6,real,ridge,1171944.7128976765,original
6,real,kneighborsregressor,1256874.1010648294,original
6,real,svr,1901980.604486057,original
6,mar,xgbregressor_no_impute,1167549.7198693273,original
6,mar,xgbregressor,1186599.3383675034,original
6,mar,randomforestregressor,1272578.4567285562,original
6,mar,lasso,1208530.4260878866,original
6,mar,ridge,1210862.9389045753,original
6,mar,kneighborsregressor,1307334.659904223,original
6,mar,svr,2107050.688319644,original
6,mnar,xgbregressor_no_impute,1175431.4890848903,original
6,mnar,xgbregressor,1151733.6766924192,original
6,mnar,randomforestregressor,1173976.5860125085,original
6,mnar,lasso,1195615.736504469,original
6,mnar,ridge,1203009.2579184172,original
6,mnar,kneighborsregressor,1324521.2754006528,original
6,mnar,svr,1918113.822459143,original
7,real,xgbregressor_no_impute,871583.2817002644,original
7,real,xgbregressor,904795.7411931272,original
7,real,randomforestregressor,918213.1210288728,original
7,real,lasso,916586.106612378,original
7,real,ridge,914002.2843913937,original
7,real,kneighborsregressor,836059.0790575623,original
7,real,svr,1402445.993571826,original
7,mar,xgbregressor_no_impute,978018.7860597874,original
7,mar,xgbregressor,969882.732659836,original
7,mar,randomforestregressor,931478.7962688291,original
7,mar,lasso,966867.6319276376,original
7,mar,ridge,960594.5599060372,original
7,mar,kneighborsregressor,908799.9466985144,original
7,mar,svr,1350071.6432614871,original
7,mnar,xgbregressor_no_impute,888157.1881178984,original
7,mnar,xgbregressor,893923.1790212588,original
7,mnar,randomforestregressor,899218.04363227,original
7,mnar,lasso,951150.0065197216,original
7,mnar,ridge,949726.3547363044,original
7,mnar,kneighborsregressor,911737.2167307616,original
7,mnar,svr,1326682.9534265478,original
8,real,xgbregressor_no_impute,970902.8553936846,original
8,real,xgbregressor,951372.7093300628,original
8,real,randomforestregressor,962336.73218061,original
8,real,lasso,935317.7817527312,original
8,real,ridge,924152.363157494,original
8,real,kneighborsregressor,915708.1531724114,original
8,real,svr,1331827.9554701387,original
8,mar,xgbregressor_no_impute,952485.9702307204,original
8,mar,xgbregressor,941308.7294385522,original
8,mar,randomforestregressor,1038494.5776715912,original
8,mar,lasso,980956.0285635825,original
8,mar,ridge,969807.356600484,original
8,mar,kneighborsregressor,891706.5880857707,original
8,mar,svr,1474655.2239911698,original
