run,data_type,model,score
0,original,xgbregressor_no_impute,1014268.7720965324
0,original,xgbregressor,1027549.8619871058
0,original,randomforestregressor,1085045.6896508571
0,original,lasso,973505.6591573099
0,original,ridge,975311.8934698778
0,original,kneighborsregressor,1047281.5035744243
0,original,svr,1760192.4785931925
0,mar,xgbregressor_no_impute,1054066.5430152593
0,mar,xgbregressor,1028830.6664261027
0,mar,randomforestregressor,1128859.3974529891
0,mar,lasso,1016651.2170753633
0,mar,ridge,1017872.6584981987
0,mar,kneighborsregressor,1086199.8956872746
0,mar,svr,1822313.4461336557
0,mnar,xgbregressor_no_impute,995269.8713538573
0,mnar,xgbregressor,998579.807014263
0,mnar,randomforestregressor,1060973.8349056807
0,mnar,lasso,1008974.2910769781
0,mnar,ridge,1009126.243341404
0,mnar,kneighborsregressor,1077213.7355946472
0,mnar,svr,1510887.797776965
1,original,xgbregressor_no_impute,1044830.787969358
1,original,xgbregressor,1046999.9288038017
1,original,randomforestregressor,1138881.589065398
1,original,lasso,1032815.9153628114
1,original,ridge,1033263.7044304496
1,original,kneighborsregressor,1021547.6129488555
1,original,svr,1719290.1032857017
1,mar,xgbregressor_no_impute,1058860.5817442222
1,mar,xgbregressor,1111256.5288546898
1,mar,randomforestregressor,1182519.4584858916
1,mar,lasso,1100244.1411280315
1,mar,ridge,1102615.98079943
1,mar,kneighborsregressor,1083206.0287969024
1,mar,svr,1572995.3695959658
1,mnar,xgbregressor_no_impute,1024714.6280296203
1,mnar,xgbregressor,1037233.2790224876
1,mnar,randomforestregressor,1105972.312049712
1,mnar,lasso,1035989.0276621524
1,mnar,ridge,1033069.248454318
1,mnar,kneighborsregressor,1012647.4609665407
1,mnar,svr,1723334.2190839138
2,original,xgbregressor_no_impute,1137924.4732510743
2,original,xgbregressor,1132458.3566144526
2,original,randomforestregressor,1079262.528539143
2,original,lasso,1133206.063035238
2,original,ridge,1132418.7824545582
2,original,kneighborsregressor,1304814.2000945273
2,original,svr,1731896.8906207834
2,mar,xgbregressor_no_impute,1148614.2475383135
2,mar,xgbregressor,1194566.6396033666
2,mar,randomforestregressor,1157953.6962675329
2,mar,lasso,1180747.2108119668
2,mar,ridge,1179066.3710080362
2,mar,kneighborsregressor,1325525.1027693136
2,mar,svr,1908629.1982869925
2,mnar,xgbregressor_no_impute,1160921.96306583
2,mnar,xgbregressor,1101254.8151981332
2,mnar,randomforestregressor,1160783.045922821
2,mnar,lasso,1191099.87318844
2,mnar,ridge,1193124.3413052172
2,mnar,kneighborsregressor,1335611.1579731037
2,mnar,svr,1771585.6658294913
3,original,xgbregressor_no_impute,1312214.6041760023
3,original,xgbregressor,1261532.0286766028
3,original,randomforestregressor,1288258.1630178038
3,original,lasso,1176643.1989926188
3,original,ridge,1177379.3522061848
3,original,kneighborsregressor,1334665.5720093849
3,original,svr,1780180.3769928808
3,mar,xgbregressor_no_impute,1276699.7927482764
3,mar,xgbregressor,1287819.0427852345
3,mar,randomforestregressor,1301497.0664410857
3,mar,lasso,1237171.3436236714
3,mar,ridge,1238851.2062021103
3,mar,kneighborsregressor,1332706.6259626176
3,mar,svr,2079731.3032978661
3,mnar,xgbregressor_no_impute,1287170.7375922555
3,mnar,xgbregressor,1217275.7869154883
3,mnar,randomforestregressor,1284054.9912362031
3,mnar,lasso,1184124.6230214902
3,mnar,ridge,1184827.01919896
3,mnar,kneighborsregressor,1427596.5420025354
3,mnar,svr,2087333.7161318357
4,original,xgbregressor_no_impute,1080242.3916124357
4,original,xgbregressor,1087975.3641863856
4,original,randomforestregressor,1163939.746295506
4,original,lasso,1096078.4626946382
4,original,ridge,1098025.1160046868
4,original,kneighborsregressor,1097163.7329344572
4,original,svr,1869962.4155751017
4,mar,xgbregressor_no_impute,1146280.5475387601
4,mar,xgbregressor,1118150.9693993616
4,mar,randomforestregressor,1150588.5811292145
4,mar,lasso,1116943.2754127923
4,mar,ridge,1124408.4092806047
4,mar,kneighborsregressor,1147515.9169133042
4,mar,svr,1773778.6142264048
4,mnar,xgbregressor_no_impute,1107668.4038457314
4,mnar,xgbregressor,1096651.502984592
4,mnar,randomforestregressor,1048149.3216105056
4,mnar,lasso,1089235.9645018175
4,mnar,ridge,1089522.4730662508
4,mnar,kneighborsregressor,1189646.7249271232
4,mnar,svr,1710873.6383024745
5,original,xgbregressor_no_impute,1167490.558432316
5,original,xgbregressor,1136637.7495507188
5,original,randomforestregressor,1165537.185052661
5,original,lasso,1161706.5081104084
5,original,ridge,1172922.6441555829
5,original,kneighborsregressor,1181142.6539664497
5,original,svr,1705655.238067747
5,mar,xgbregressor_no_impute,1165302.5966582643
5,mar,xgbregressor,1192985.9768949652
5,mar,randomforestregressor,1240495.217278102
5,mar,lasso,1204123.9286140532
5,mar,ridge,1216374.6199051025
5,mar,kneighborsregressor,1220920.2170311713
5,mar,svr,1616808.850797512
5,mnar,xgbregressor_no_impute,1110527.814224155
5,mnar,xgbregressor,1118320.3817017085
5,mnar,randomforestregressor,1209863.6909260005
5,mnar,lasso,1160926.57084219
5,mnar,ridge,1178109.3201769483
5,mnar,kneighborsregressor,1197046.00567798
5,mnar,svr,1729831.8474385166
6,original,xgbregressor_no_impute,1153628.197730735
6,original,xgbregressor,1162937.862581178
6,original,randomforestregressor,1283829.1495680446
6,original,lasso,1169986.7445954322
6,original,ridge,1171944.7128976763
6,original,kneighborsregressor,1256874.1010648294
6,original,svr,1901980.604486057
6,mar,xgbregressor_no_impute,1167549.7198693273
6,mar,xgbregressor,1186599.3383675034
6,mar,randomforestregressor,1272578.4567285562
6,mar,lasso,1208530.4260878866
6,mar,ridge,1210862.9389045753
6,mar,kneighborsregressor,1307334.659904223
6,mar,svr,2107050.688319644
6,mnar,xgbregressor_no_impute,1175431.4890848903
6,mnar,xgbregressor,1151733.6766924192
6,mnar,randomforestregressor,1173976.5860125083
6,mnar,lasso,1195615.736504469
6,mnar,ridge,1203009.2579184172
6,mnar,kneighborsregressor,1324521.2754006528
6,mnar,svr,1918113.8224591427
7,original,xgbregressor_no_impute,871583.2817002644
7,original,xgbregressor,904795.7411931271
7,original,randomforestregressor,918213.1210288727
7,original,lasso,916586.1066123781
7,original,ridge,914002.2843913935
7,original,kneighborsregressor,836059.0790575623
7,original,svr,1402445.993571826
7,mar,xgbregressor_no_impute,978018.7860597874
7,mar,xgbregressor,969882.7326598361
7,mar,randomforestregressor,931478.7962688293
7,mar,lasso,966867.6319276376
7,mar,ridge,960594.5599060373
7,mar,kneighborsregressor,908799.9466985145
7,mar,svr,1350071.6432614871
7,mnar,xgbregressor_no_impute,888157.1881178984
7,mnar,xgbregressor,893923.1790212588
7,mnar,randomforestregressor,899218.04363227
7,mnar,lasso,951150.0065197215
7,mnar,ridge,949726.3547363044
7,mnar,kneighborsregressor,911737.2167307617
7,mnar,svr,1326682.9534265478
8,original,xgbregressor_no_impute,970902.8553936846
8,original,xgbregressor,951372.7093300627
8,original,randomforestregressor,962336.73218061
8,original,lasso,935317.7817527311
8,original,ridge,924152.363157494
8,original,kneighborsregressor,915708.1531724114
8,original,svr,1331827.9554701387
8,mar,xgbregressor_no_impute,952485.9702307204
8,mar,xgbregressor,941308.7294385522
8,mar,randomforestregressor,1038494.5776715912
8,mar,lasso,980956.0285635825
8,mar,ridge,969807.3566004841
8,mar,kneighborsregressor,891706.5880857707
8,mar,svr,1474655.2239911698
8,mnar,xgbregressor_no_impute,936163.6891182668
8,mnar,xgbregressor,941357.7009074123
8,mnar,randomforestregressor,1000128.8938289284
8,mnar,lasso,916381.9925689742
8,mnar,ridge,914078.8125048697
8,mnar,kneighborsregressor,920601.4207327737
8,mnar,svr,1634251.8653054305
9,original,xgbregressor_no_impute,1052728.1279100063
9,original,xgbregressor,1001096.9503326444
9,original,randomforestregressor,1087364.7896602931
9,original,lasso,997305.9076066525
9,original,ridge,992992.3917267412
9,original,kneighborsregressor,1090369.7743990347
9,original,svr,1525892.6143869495
9,mar,xgbregressor_no_impute,993197.7213586253
9,mar,xgbregressor,1024027.3541986009
9,mar,randomforestregressor,1106972.5488446555
9,mar,lasso,1016499.9831558759
9,mar,ridge,1015356.17113214
9,mar,kneighborsregressor,1127680.5910814877
9,mar,svr,1659951.9783572298
9,mnar,xgbregressor_no_impute,1050933.22134299
9,mnar,xgbregressor,1013444.930711865
9,mnar,randomforestregressor,1032375.2640592831
9,mnar,lasso,1004726.4306065596
9,mnar,ridge,1000985.5270500253
9,mnar,kneighborsregressor,1160911.2050704367
9,mnar,svr,1403614.562181856
