run,data_type,model,score
0,original,xgbregressor_no_impute,1169923.8699801548
0,original,xgbregressor,1153246.9324392567
0,original,randomforestregressor,1221520.0336751656
0,original,lasso,1028751.4628982041
0,original,ridge,1015829.0444519905
0,original,kneighborsregressor,1147196.5032111576
0,original,svr,1704246.8187293368
0,mar,xgbregressor_no_impute,1054577.8524700617
0,mar,xgbregressor,1073759.5043460012
0,mar,randomforestregressor,1125148.5370186158
0,mar,lasso,1016828.5962648891
0,mar,ridge,1013808.1041314781
0,mar,kneighborsregressor,1139814.2744362233
0,mar,svr,1764128.073587013
0,mnar,xgbregressor_no_impute,1063317.2861849326
0,mnar,xgbregressor,1042960.1554911794
0,mnar,randomforestregressor,1153985.4843559777
0,mnar,lasso,1047583.3030441146
0,mnar,ridge,1039898.3992497209
0,mnar,kneighborsregressor,1172228.552050923
0,mnar,svr,1569816.011907016
1,original,xgbregressor_no_impute,1184100.1706543455
1,original,xgbregressor,1130288.298369647
1,original,randomforestregressor,1257623.0069985837
1,original,lasso,1056528.822409197
1,original,ridge,1055358.9396435514
1,original,kneighborsregressor,1160037.3144191727
1,original,svr,1534960.9488094111
1,mar,xgbregressor_no_impute,1054375.3737669494
1,mar,xgbregressor,1097265.4477983662
1,mar,randomforestregressor,1110517.621011236
1,mar,lasso,1142703.2536567803
1,mar,ridge,1140369.241862667
1,mar,kneighborsregressor,1097581.353355199
1,mar,svr,1488089.9693268624
1,mnar,xgbregressor_no_impute,1090649.4749869767
1,mnar,xgbregressor,1163826.143562762
1,mnar,randomforestregressor,1163301.1763651576
1,mnar,lasso,1049502.3691521653
1,mnar,ridge,1041596.5315012353
1,mnar,kneighborsregressor,1061615.9727980478
1,mnar,svr,1645795.1532078807
2,original,xgbregressor_no_impute,1195757.1560307853
2,original,xgbregressor,1248916.8588754523
2,original,randomforestregressor,1145442.9602616199
2,original,lasso,1098552.2563862216
2,original,ridge,1095752.9381801807
2,original,kneighborsregressor,1336177.0015604498
2,original,svr,1812126.0632306577
2,mar,xgbregressor_no_impute,1227294.952410462
2,mar,xgbregressor,1309779.2866045025
2,mar,randomforestregressor,1250129.7444088117
2,mar,lasso,1236486.1499336204
2,mar,ridge,1233111.865983753
2,mar,kneighborsregressor,1336884.8459812556
2,mar,svr,1904453.6528710085
2,mnar,xgbregressor_no_impute,1207576.7342139566
2,mnar,xgbregressor,1270411.298883367
2,mnar,randomforestregressor,1148987.2201215145
2,mnar,lasso,1224135.659936883
2,mnar,ridge,1223423.751100876
2,mnar,kneighborsregressor,1348345.0098480398
2,mnar,svr,1942924.40586069
3,original,xgbregressor_no_impute,1449436.727574737
3,original,xgbregressor,1495815.2319283749
3,original,randomforestregressor,1308892.5866581996
3,original,lasso,1174318.7133984691
3,original,ridge,1169472.0931925261
3,original,kneighborsregressor,1409166.136912369
3,original,svr,2157791.6188394204
3,mar,xgbregressor_no_impute,1345652.9429908849
3,mar,xgbregressor,1332274.2453225208
3,mar,randomforestregressor,1366508.295344729
3,mar,lasso,1254012.5136075534
3,mar,ridge,1251677.3763005699
3,mar,kneighborsregressor,1424299.009630767
3,mar,svr,2042122.4655829123
3,mnar,xgbregressor_no_impute,1463209.9777684622
3,mnar,xgbregressor,1361911.4475081395
3,mnar,randomforestregressor,1327273.0217126308
3,mnar,lasso,1192452.6565113259
3,mnar,ridge,1182975.6312799894
3,mnar,kneighborsregressor,1491605.097952469
3,mnar,svr,1766458.623605714
4,original,xgbregressor_no_impute,1151009.697040133
4,original,xgbregressor,1169042.69723776
4,original,randomforestregressor,1213784.7741705754
4,original,lasso,1147248.8814296266
4,original,ridge,1137874.231867225
4,original,kneighborsregressor,1297547.8629356835
4,original,svr,1690910.3592774265
4,mar,xgbregressor_no_impute,1243358.5478634438
4,mar,xgbregressor,1237089.4887200035
4,mar,randomforestregressor,1244414.5001112684
4,mar,lasso,1138298.973812389
4,mar,ridge,1143696.4314738312
4,mar,kneighborsregressor,1263204.2716777138
4,mar,svr,1812426.1729649187
4,mnar,xgbregressor_no_impute,1158301.4430937239
4,mnar,xgbregressor,1212011.8094299268
