run,data_type,model,score
0,original,xgbregressor_no_impute,1024328.2762363256
0,original,xgbregressor,1013662.3992828559
0,original,randomforestregressor,1071215.0162662237
0,original,lasso,1044249.5595722253
0,original,ridge,1033648.82790246
0,original,kneighborsregressor,1129264.0205140568
0,original,svr,1603500.0190443567
0,mar,xgbregressor_no_impute,1147347.431436347
0,mar,xgbregressor,1124697.5508909125
0,mar,randomforestregressor,1162807.7150300452
0,mar,lasso,1032482.5045759869
0,mar,ridge,1043970.15652287
0,mar,kneighborsregressor,1072094.1868335751
0,mar,svr,1698312.37424904
0,mnar,xgbregressor_no_impute,1114008.2386826274
0,mnar,xgbregressor,1136182.956515626
0,mnar,randomforestregressor,1155117.4960014445
0,mnar,lasso,1087188.085474348
0,mnar,ridge,1072247.2251619953
0,mnar,kneighborsregressor,1137838.986130861
0,mnar,svr,1782993.46401757
1,original,xgbregressor_no_impute,1324192.7726250538
1,original,xgbregressor,1261800.023658496
1,original,randomforestregressor,1296227.2547216457
1,original,lasso,1072985.4674946675
1,original,ridge,1068134.9296828804
1,original,kneighborsregressor,1145798.502192913
1,original,svr,1661499.1136278927
1,mar,xgbregressor_no_impute,1131808.6171497616
1,mar,xgbregressor,1202965.7684987902
1,mar,randomforestregressor,1203186.384737953
1,mar,lasso,1137729.9071282642
1,mar,ridge,1138170.4630497105
1,mar,kneighborsregressor,1118384.5548174065
1,mar,svr,1483988.6229415485
1,mnar,xgbregressor_no_impute,1103694.098866628
1,mnar,xgbregressor,1058180.1818993671
1,mnar,randomforestregressor,1080885.1219129341
1,mnar,lasso,1152884.308744617
1,mnar,ridge,1133649.246669949
1,mnar,kneighborsregressor,1103301.8635742841
1,mnar,svr,1744902.1378905096
2,original,xgbregressor_no_impute,1300221.8381246962
2,original,xgbregressor,1240992.3435727153
2,original,randomforestregressor,1277378.9295195967
2,original,lasso,1205959.790661593
2,original,ridge,1207796.0431169956
2,original,kneighborsregressor,1421806.1025270887
2,original,svr,2059430.7294615104
2,mar,xgbregressor_no_impute,1155085.720994512
2,mar,xgbregressor,1176448.567627923
2,mar,randomforestregressor,1214033.6760211017
2,mar,lasso,1197086.070504137
2,mar,ridge,1200367.676194046
2,mar,kneighborsregressor,1320946.205854526
2,mar,svr,1831713.769736735
2,mnar,xgbregressor_no_impute,1240466.5442564567
2,mnar,xgbregressor,1188078.0691535233
2,mnar,randomforestregressor,1212367.7835067075
2,mnar,lasso,1249691.972110776
2,mnar,ridge,1249650.0884314196
2,mnar,kneighborsregressor,1373685.5294551777
2,mnar,svr,1806153.3689761457
3,original,xgbregressor_no_impute,1295639.765932315
3,original,xgbregressor,1267587.8068843936
3,original,randomforestregressor,1395186.0118159815
3,original,lasso,1186454.133945753
3,original,ridge,1183557.0696127426
3,original,kneighborsregressor,1313196.5198035315
3,original,svr,1809956.2429639676
3,mar,xgbregressor_no_impute,1330490.6965221502
3,mar,xgbregressor,1364846.8581090725
3,mar,randomforestregressor,1459994.4976413045
3,mar,lasso,1273049.946355595
3,mar,ridge,1256057.9541342126
3,mar,kneighborsregressor,1404873.8763932984
3,mar,svr,1791590.1156292988
3,mnar,xgbregressor_no_impute,1378293.7681516458
3,mnar,xgbregressor,1264496.7598902297
3,mnar,randomforestregressor,1302270.9725625354
3,mnar,lasso,1244470.2647903524
3,mnar,ridge,1234887.461891387
3,mnar,kneighborsregressor,1351457.2708296943
3,mnar,svr,2034943.1992260327
4,original,xgbregressor_no_impute,1126434.036240362
4,original,xgbregressor,1131237.7064518635
4,original,randomforestregressor,1155696.6836045757
4,original,lasso,1117083.878629985
4,original,ridge,1124825.586977851
4,original,kneighborsregressor,1231515.7204524777
4,original,svr,1781563.5757214683
4,mar,xgbregressor_no_impute,1210756.4957266012
4,mar,xgbregressor,1248980.0203279073
4,mar,randomforestregressor,1193565.0367330252
4,mar,lasso,1152414.8575031336
4,mar,ridge,1159328.4413244657
4,mar,kneighborsregressor,1370744.554225632
4,mar,svr,1736980.0148199145
4,mnar,xgbregressor_no_impute,1198459.2537260528
4,mnar,xgbregressor,1193721.466645947
4,mnar,randomforestregressor,1298948.9297798967
4,mnar,lasso,1156891.8663793236
4,mnar,ridge,1138570.389587637
4,mnar,kneighborsregressor,1272933.3147321164
4,mnar,svr,1874316.7020649088
5,original,xgbregressor_no_impute,1208804.0388850726
5,original,xgbregressor,1196706.6373228529
5,original,randomforestregressor,1274801.1254952634
5,original,lasso,1198683.4668065675
5,original,ridge,1200083.563724623
5,original,kneighborsregressor,1316799.967885145
5,original,svr,1634469.8271927368
5,mar,xgbregressor_no_impute,1149679.2816475534
5,mar,xgbregressor,1171009.5974125902
5,mar,randomforestregressor,1343778.1960495054
5,mar,lasso,1210427.3057705332
5,mar,ridge,1217649.1221322515
5,mar,kneighborsregressor,1282081.0020320625
5,mar,svr,1573301.4624034704
